                                                                    random  random    bkwd   record   stride
                    KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
2013-02-24T06:04:00 64       4  532815 1363961  2772930  2772930 1526887 1363961 1357066  1049372  1933893  1083249  1363961 2052169  2467108
2013-02-24T09:04:00 64       4  474430  983980  1679761  2923952 1638743 1105556 1049372  1226821  2067979  1033216  1526887 2133730  1609270
2013-02-24T12:04:00 64       4  581273 1330167  2203800  2801873 1828508 1304314 1163036  1492919  2067979   969761   969761 2203800  2561267
2013-02-24T15:03:00 64       4  423529 1124074  2006158  1599680 2067979 1105556 1638743  1526887   673098  1017549  1363961 2133730  2772930
2013-02-24T18:03:00 64       4  323491  855419  2662899  2923952 2052169 1066042 1336792  1452528  2067979   852702  1452528 1553394  1049372
2013-02-24T21:04:00 64       4  528618 1029254  2358717  2923952 2067979 1124074 1599680  1492919  2067979  1183548  1163036 2467108  2662899
2013-02-25T00:03:00 64       4  476959  998622  1879725  2923952 1638743 1083249 1638743  1492919  2067979  1163036  1163036 2298136  2662899
2013-02-25T03:03:00 64       4  447537 1330167  1991276  2662899  889431 1363961 1599680  1526887  2006158  1484662   780776 1780008  2561267
2013-02-25T06:03:00 64       4  312204 1226821  1892980  1780008 1947927  983980  603489  1363961  1933893  1049372   866463 1562436  2467108
2013-02-25T09:03:00 64       4  353760  877797  1879725  1638743 1363961  780776 1255511   591520  2006158  1143223   913649 2052169  1163036
2013-02-25T12:04:00 64       4  546928 1143223   998622  2772930 1638743 1087638 1638743  1492919  1226821  1066042  1452528  863676  1310683
2013-02-25T15:03:00 64       4  511494  608965  1879725  2772930 2067979 1336792  842003  1518251  1143223  1392258  1232453 2298136  1599680
2013-02-25T18:04:00 64       4  450541 1049372  2662899  1526887 1933893 1330167 1143223  1492919  2006158  1087638  1049372 2067979  2467108
2013-02-25T21:04:00 64       4  546928 1143223  2662899  1638743 2067979 1083249 1163036  1421755  1933893  1124074   842003 2133730  2561267
2013-02-26T00:04:00 64       4  560635 1460430  1638743  2662899 2133730 1363961 1526887  1460430  1780008  1124074   969761 1690338  1484662
2013-02-26T03:04:00 64       4  424198  686877  1083249  1599680 2067979 1017549 1066042  1526887  1828508   789967   681644 1279447  1363961
2013-02-26T06:03:00 64       4  571375 1143223  2892445  2772930 2067979 1066042 1105556  1484662  1768283  1066042   987600 1421755  2561267
2013-02-26T09:04:00 64       4  404998 1255511  2067979  2561267 2067979 1357066  855419  1484662  1991276  1138375  1143223  955947  1330167
2013-02-26T12:04:00 64       4  310759  852702  2662899  2358717 2052169 1029254 1330167  1492919  2067979  1421755  1484662 1330167  1083249
2013-02-26T15:04:00 64       4  496362  727850  1828508  2772930 2067979 1083249 1562436  1492919  2067979  1143223  1066042 2203800  2689580
2013-02-26T18:04:00 64       4  369844  889431  2801873  1991276 2067979 1017549 1163036  1492919  1879725   752329  1002351 1049372   998622
2013-02-26T21:04:00 64       4  566551  799377  2467108  2662899 2067979 1066042 1599680  1452528  1768283  1087638  1484662 2379626  2801873
2013-02-27T00:03:00 64       4  477808  852702  2662899  1947927 2006158  955947 1304314  1452528  1879725  1087638   929467 1599680  1210227
2013-02-27T03:04:00 64       4  481234  842003  1255511  1947927 1991276  481234  438043  1452528  1991276   681644   720041 2006158  2662899
2013-02-27T06:04:00 64       4  507625  516414  2662899  2801873 2067979 1392258  481234  1492919  1780008  1087638  1033216 2203800  1562436
2013-02-27T09:05:00 64       4  586352 1421755  2561267  2662899 1363961 1210227  528618  1163036  1991276  1124074   874936 1363961  1101022
2013-02-27T12:04:00 64       4  503814 1119387  2772930  2923952 1638743 1083249 1690338  1484662  1991276  1066042  1066042 2133730  2689580
2013-02-27T15:04:00 64       4  331891  627470  1562436  2662899 2006158  763021 1255511  1484662  1638743   983980   799377 1163036  1392258
2013-02-27T18:04:00 64       4  566551 1163036  2203800  2772930 1599680 1083249 1734015  1452528  1734015  1101022  1452528 2278628  2772930
2013-02-27T21:04:00 64       4  326641  500060  1087638  2772930 2067979  598110 1279447  1452528  1879725  1105556  1087638 1330167  2662899
2013-02-28T00:04:00 64       4  438043  801764  1947927  1518251 2052169 1101022 1562436  1484662  1879725  1124074  1013707 2203800  1336792
2013-02-28T03:03:00 64       4  392561  789967  2052169  1599680 1947927 1017549  821391  1421755  2067979  1143223   969761 1421755  1879725
2013-02-28T06:04:00 64       4  353760 1066042  2203800  1421755 2006158  955947 1357066   294723  1828508   969761  1452528 1392258  2662899
2013-02-28T09:04:00 64       4  451299 1143223  1828508  2561267 2067979 1083249 1330167  1460430  2006158  1143223  1452528 1638743  1279447
2013-02-28T12:04:00 64       4  512471 1163036  2801873  2892445 2133730 1105556 1780008  1492919  1879725   603489  1336792  477808  1638743
2013-02-28T15:03:00 64       4  380864 1279447  2067979  1828508 2052169 1013707 1304314  1183548  2067979  1105556  1163036 2067979  2379626
2013-02-28T18:03:00 64       4  561808 1083249  2801873   666414 1947927  926260 1124074  1526887  1734015   983980  1363961 2203800  2662899
2013-02-28T21:04:00 64       4  560635 1143223  2133730  2278628 2067979  983980 1330167  1484662  1330167  1163036   913649 1933893  1421755
2013-03-01T00:04:00 64       4  560635 1049372   926260  2298136 2067979  998622 1249666  1484662  1392258  1083249   266620 1518251  1599680
2013-03-01T03:00:00 64       4  441646  955947  2133730  2278628 1599680  863676 1304314  1363961  1562436   831569   969761 2467108  2203800
2013-03-01T06:02:00 64       4  363829  718114  2772930  2067979 1562436  969761  780776  1492919  1553394   913649  1105556 1638743  1734015
2013-03-01T09:02:00 64       4  413101  889431  1562436  2133730 2133730 1087638 1336792  1330167  1553394   831569   926260 1828508  1991276
2013-03-01T12:02:00 64       4  426897  913649  1828508  2203800 2052169 1083249 1679761   942521  1599680   955947   929467 1780008  2467108
2013-03-01T15:02:00 64       4  378715  598110  1879725  1363961 2133730 1070292  789967  1484662  1780008   852702   769584 1722886  1183548
2013-03-01T18:03:00 64       4  460591 1087638  1991276  1879725 2052169 1083249 1599680  1124074  1562436   831569   339016 1210227   889431
2013-03-01T21:02:00 64       4  450541  913649  2561267  2067979 1553394  955947  727850  1484662  1562436   799377   752329 1734015  2006158
