	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 28 03:03:18 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  392561  789967  2052169  1599680 1947927 1017549  821391  1421755  2067979  1143223   969761 1421755  1879725
              64       8  673098 1101022  1690338  4018152 3203069 1357066 1183548  2067979  3057153  1452528  1124074 2561267  3541098
              64      16  592827 1066042  4018152  4018152 4018152 2379626 2467108  2561267  3363612  1330167   760859 1933893  3057153
              64      32  852702 2278628  5389653  5283570 5389653 2801873 3057153  2892445  1599680  1562436  2467108 3738358  4897948
              64      64  754443 1518251  5860307  4564786 5860307 1780008 3057153  3057153  2203800  2923952  1828508 3406295  1279447
             128       4  506097  864797  2608629  2420455 2098744  794416  913347  1521718  1175271  1155043   883293 1521718  2286447
             128       8  627328 1254941  3359523  3199360 3053774 1206978 2004703  2027414  3359523  1032829  1183041 2211113  1346196
             128      16  385460 1121270  2066432  1543594 3106789 1440082 1455701  2098744  3895854  1802755  2066432 2858650  4407601
             128      32  919605 1085013  3124872  4267461 5122535 1833539 2326073  2920861  4012317  1421023  1377278 3657016  5122535
             128      64  976473 1885042  3785961  4135958 6045455 2066432 1878447  2248149  5122535  1471662  4135958 2784517  5122535
             128     128  766076 1196221  2248149  5784891 6406138 2035099 2571150  2175277  2286447  1749872  2035099 2608629  6406138
             256       4  281614 1173737  1855098  2692393 2097948  941213 1334162  1561112  1729594  1108314  1103757 1868008  2533571
             256       8  746272 1561112  2285501  3756894 3043436 1894373 2247235  1763685  1755037  1267990   876662 1938842  3654598
             256      16  996229 2118645  2911402  4496299 3654598  931416 1970871  2747508  3994490  1842366  1534342 2880164  2000242
             256      32  955451 1673001  2842047  3605511 5242734 1897721 3465855  3123106  4840911  1855098  1826695 3368013  5347168
             256      64 1016025 2228578  2984226  6398720 5938650 2000242 4009406  3159869  5687020  2065659  2097948 5242734  2754556
             256     128 1040643 1455317  3017775  4652146 6719046 2148318 4496299  2413957  2943325  1534342  2131261 2533571  6107548
             256     256 1126926 2065659  5569035  7073132 6936061 2285501 1422540   641497  2726577  2435861  1032636 1938842  6213578
             512       4  683518 1547395  2560168  2841317 2097550 1319250 1380303  1605228  1910902  1108203   991998 2178404  1459080
             512       8  503418 1273861  2926501  2665014 3239989 1546280 2180616  2416145  2132967   876593  1376763 3182373  2600470
             512      16  966113 1210664  2521095  4340054 4195896 1917728 2160868  2875558  3710197  1510391  2205248 3822466  4784885
             512      32  765098 2039772  2926501  5344582 5331314 1975959 3604335  2107844  4237291  1585086  1667552 4068701  5278892
             512      64  837942 1895721  2600470  5384786 6174377 2081286 2141475  3604335  4494470  1402845  1417662 1917728  2906696
             512     128  819085 1809465  4271001  3533174 6736026 2097550 2782414  2625909  6472112  2152206  2360376 3220553  2256220
             512     256 1127995 1827947  5115422  3842988 6632013 2047551 3393590  3008498  2438090  1528669  1110496 2638816  3259661
             512     512  881269 1463057  7211022  6999490 4485083 2189509 2167411  2124526  2463259  2926501  1933266 4916336  6736026
            1024       4  584444  982648  1875690  2737730 2098375 1331440 1434138  1615374  1410588  1168760  1242467 1932227  2837198
            1024       8  935966 1524224  2338280  3436508 3229770 1408275 1928757  2426801  1484193  1464956  1386007 2540189  3495237
            1024      16 1033237 1264041  2528227  2619192 4044965 2027069 1958662  2573677  2240689  1267398  1494522 2107643  3951918
            1024      32 1157109 1741810  2900425  5601115 4531485 2688041 2403712  3506651  2414523  1980337  1097388 2598591  3709575
