	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Wed Feb 20 18:03:18 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  542506 1124074  2006158  2561267 2067979 1083249 1392258  1492919  2006158  1163036  1033216 2298136  2278628
              64       8  640954 1336792  3057153  3738358 3203069 1421755 2278628  2067979  3057153  1255511  1049372 2067979  3363612
              64      16  653436 1304314  4274062  4274062 4018152 2379626 1526887  2561267  3541098  1879725  2052169 3588436  1679761
              64      32  542506 1648808  4988978  5389653 4897948 1828508 2006158  2222043  2561267  1526887  2467108 3588436  4018152
              64      64  877797 1562436  4988978  5735102 5860307 1991276 3541098  1991276  4564786  2067979  1734015 3541098  5283570
             128       4  551878 1076312  2784517  2969325 2098744 1111981 1772988  1561553  1727352  1220700  1196221 2608629  1471662
             128       8  785122 1492113  3982553  3468030 3199360 1504659 2727923  2286447  3199360  1254941  1332828 3468030  4012317
             128      16  723735 1727352  4267461  4759253 4135958 2558895 2558895  2784517  2326073  1579934  1487977 4012317  4557257
             128      32  940549 1543594  5122535  5325799 5325799 1885042 3468030  2985839  4889281  1827299  2098744 2202044  2727923
             128      64  637004 1346196  3657016  6330599 6045455 2098744 2905056  2409592  4759253  1487977  2969325 5122535  5847904
             128     128 1048974 1975201  5122535  6330599 6406138 2175277 4407601  2211113  2367096  2004703  2004703 2098744  6114306
             256       4  582035 1094754  2441400  2285501 1376935 1036624 1729594  1610276  2015259  1230218  1213534 2371308  2880164
             256       8  826078 1300235  2665657  4197489 3285566 1598292 2458168  2392442  2872459  1497953  1298662 2639446  4054829
             256      16 1003679 1312954  3499745  4672389 4197489 1802167 3123106  2665657  3879045  1675612  1300235 2413957  4755158
             256      32 1084800 1826695  3236056  5687020 5217259 2228578 3823789  3197509  4840911  1911233  1347557 1540948  3511189
             256      64 1057034 1924938  3043436  3756894 5938650 2118645 2975955  2783115  4422226  1938842  3087188 5117791  4332998
             256     128 1415041 2665657  3043436  6761355 6761355 2533571 4672389  2699161  2539563  1241598  1375171 3285566  6719046
             256     256 1123389 1479379  6891544  6936061 6891544 2325094 4929815  2325094  4755158  1673001  1881098 1970871  2435861
             512       4  421752  978885  1842059  2910635 2132967 1326585 1227971  1657257  2009236  1302447  1032540 1924603  2841317
             512       8  876593 1207261  2124526  3934520 3304808 1672748 2124526  2347475  2275345  1689859  1861217 2047551  3736016
             512      16 1113374 1524329  3684733  4927617 4163357 2681653 2032051  1120344  2216629  1672748  1672748 3279573  4784885
             512      32 1140576 1326585  4195896  5624545 5278892 3239989 3012719  3304808  4411377  1667552  2317080 4262523  5684095
             512      64  977103 1882427  4827914  3064306 5566231 1938502 4571003  4030519  4195896  1296159  1369738 3504346  6246213
             512     128 1224470 1917728  3659616  6018636 6736026 2575520 5019764  4271001  5278892  2975154  1372364 3099691  6551087
             512     256 1021732 1589779  4411377  6551087 6931711 2337255 1924603  2958758  4927617  1723770  3220553 3346002  5019764
             512     512  884536 1968713  7211022  7410080 7211022 2391924 2460437  2246778  2782414  1139970  1862832 2381315  3099691
            1024       4  670166 1103592  1858644  2668003 2015654 1333093 1539522  1609925  1212991  1159609  1167807 1799462  2567523
