	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Mar  2 18:03:21 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  511494  926260  2133730  2067979 2067979 1029254 1255511  1304314  2067979   842003   821391 1304314  1679761
              64       8  528618 1105556  2662899  2379626 3203069 1421755 1828508  1460430  2067979  1232453  1304314 2467108  2772930
              64      16  653436 1049372  3541098  3406295 3022727 1421755 2203800  2358717  2662899  1304314  1392258 3203069  3057153
              64      32  598110 1780008  5389653  4018152 3738358 1768283 2561267  3057153  2133730  1033216  2067979 3363612  3541098
              64      64  842003 1304314  4274062  4274062 3588436 3203069 4018152  1828508  4274062  1310683   969761 2923952  3791156
             128       4  531131 1076312  1852520  2058509 1579934  927549 1152564  1561553  1359835   947186  1142750 2058509  2132084
             128       8  643108 1196221  3036502  3124872 2985839 2066432 1967960  1755594  2621367  1598754   969421 3380677  2985839
             128      16  740710 1878447  2621367  4557257 4135958 2098744 2843510  2098744  2175277  1710838  1684006 4012317  4596273
             128      32 1015251 1802755  5325799  5603747 5122535 1939522 4135958  2905056  4759253  2066432  2140585 4934216  2326073
             128      64 1065630 1121270  6114306  4407601 5784891 3468030 3277486  2905056  5545860  1243315  4012317 4135958  1579934
             128     128  407707 1319723  6045455  5784891 6114306 3277486 2132084  3199360  1885042  1778862  1755594 2202044  2286447
             256       4  537729  962301  1729594  1673001 2097948 1213534 1243036  1561112  1260547  1137672  1058076 1506359  1610276
             256       8  678807 1274008  2392442  2114473 3410808 1422540 2061693  2000242  2371308  1293967  1286217 2812272  3123106
             256      16  739590 2045979  2077650  3654598 4197489 1662639 2533571  2783115  2812272  1694118  1398455 3159869  3605511
             256      32  962301 1581810  3823789  4350555 5320671 2015259 2943325  3159869  5022044  1652404  1967260 3605511  5687020
             256      64 1112909 2285501  4332998  2435861 2345409 1790149 3197509  3159869  4350555  1805197  1897721 3823789  4652146
