	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Fri Mar  1 21:02:23 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  450541  913649  2561267  2067979 1553394  955947  727850  1484662  1562436   799377   752329 1734015  2006158
              64       8  542506 1017549  3203069  2892445 2358717  955947 1526887  1679761  1947927   998622   874936 2358717  2561267
              64      16  557144 1279447  3363612  4564786 3738358 1599680 2052169  1780008  2662899  1049372  1484662 2892445  3958892
              64      32  542506 1330167  3958892  3738358 3738358 1421755 1492919  2222043  2801873  1518251  1013707 2444640  3541098
              64      64  503814  877797   780776  4274062 4274062 1638743 1679761  1599680  3203069  1947927  1599680 2278628  4564786
             128       4  452366  976473  1939522  1885042 2098744 1040839 1306873  1492113  1391557   955616   913347 1391557  2140585
             128       8  669577 1217930  3297617  4104338 3277486 1319723 1997245  1732927  2905056  1093856  1406136 2367096  2058509
             128      16  895074 1000121  3445772  2558895 4104338 2558895 2202044  1905110  2409592  1802755  1504659 2166499  3106789
             128      32  927549 1487977  3199360  3982553 5325799 3053774 3560017  2464907  3560017  2238774  1319723 3124872  3560017
             128      64  739689 1291158  4012317  3867787 5784891 2004703 3277486  2248149  3199360  1121270  1015251 3124872  1885042
