	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Tue Feb 19 18:02:38 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  560635 1210227  1828508  2801873 2067979 1385075 1204796  1452528  1947927  1101022  1452528 2203800  2278628
              64       8  780776 1392258  3738358  4018152 3203069 1933893 1828508  2133730  2379626  1357066  1083249 3057153  1599680
              64      16  651849  952555  2561267  4988978 3363612 1421755 1421755  2379626  2467108  1392258  1828508 4018152  4564786
              64      32  799377 1638743  4274062  4988978 4897948 1828508 3057153  2133730  2892445  1421755  1363961 3363612  4897948
              64      64  818885  615952  5860307  4564786 4274062 1553394  321554  1599680  3203069  1638743  1210227 3022727  1484662
             128       4  546819  795593  1939522  1684006 2098744 1057236 1603529  1133103  1967960   927549  1561553 1172704  1024942
             128       8  542400 1175271  2286447  3785961 3199360 1440082 1165070  1911894  2843510  1048974  1421023 3053774  4012317
             128      16  677178  579270  2453642  1939522 3895854 1997245 1637771  2621367  2905056  1306873  1114289 1684006  3053774
             128      32  848397 1755594  3560017  2420455 4557257 2098744 3468030  2367096  3199360  1526043  1024942 2004703  1827299
             128      64  669577  472262  4407601  1939522 5545860 2132084 2058509  2367096  3297617  1278855  1526043 2727923  1436229
             128     128  859260 1266785  5379161  6406138 6114306 2238774 2286447  2660335  2660335  1637771   692017  422464  2367096
             256       4  545654  927393  1729594  1683493 2045979 1356067 1219045  1208072  1306564   859127   693718  274979  2019049
             256       8  693718  822913  2030503  2045979 3236056 1921494 1662639  2285501  1619994  1123389  1071806 1694118   485898
             256      16  548161 1340826  1128110  2699161 3275543 1208072 1579483  2310087  3159869  1062263  1142514 2205688  2205688
             256      32  648079 1312954  2692393  2371308 5142301 1752173 1967260  3043436  4009406  1610276  1778290  933846   778183
             256      64  996229 1415041  3123106  1391207 5347168 2480886 2330140  3236056  2812272  1829808  1718521 2441400  5455847
             256     128 1094754  668246  4009406  5117791 6107548  944525 1707589  2692393  3605511  1368162  3285566 2049885  3368013
             256     256 1016025 1362952  6719046  6398720 6936061 3421677 2165650  2247235  2205688  1894373  1629830 2152625  3823789
             512       4  558396 1034032  1657257  1625889 2091421 1026126 1108775  1610042  1518938  1199171  1060063 1429934  1741948
             512       8  791318  674502  1689859  1560891 1947291  653961 1488408  1783912  2975154  1854787  1459080 1555239  2032051
             512      16  882718 1258188  2360376  4296637 2350044 1000315 2178404  2958758  1904125  1355045  1344020 1875849  1741948
             512      32  702295 1630828  3239989  4532414 5331314 2413429 2089386  3325278  4701087   901241  1451192 2160868  3527371
             512      64  821907 1938502  2370799  2681653 6035551 2246778 2460437  3877684  4871723  1875849  1585086 1667552  4522868
             512     128 1009722 1599251  2942541  2875558 4163357 1760512 2405320  3325278  4532414  2216629  1647088 2391924  2285029
             512     256 1125630 1599251  3710197  3905895 6931711 3556580 2474613  3140488  4000485  1764853  1992458 2317080  1861217
             512     512  744153 1924603  6652558  7115451 7115451 3580298 2265742  3604335  2891043  1387437  1772135 2668325  5164632
            1024       4  586519 1025833   997946  1684429 1421795  897438 1440391  1651398  1486247  1146913  1025099 1315938  2820430
            1024       8  756848 1230718  1424152  2064088 3239514 1803239 1865101  2410457  2461573  1484193  1203137 2240689  1872419
            1024      16  752868 1467458  2461573  2077065 3984917 2106609 1718120  2950233  2250080  1462462  1508167 2391665  2827858
