	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Feb 23 00:03:35 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  353760 1226821  2467108  1609270 2067979 1363961 1609270  1492919  1828508  1143223  1119387 2278628  2278628
              64       8  645579 1330167  3541098  3541098 3203069 1421755 2133730  1768283  2923952  1452528  1392258 3203069  3738358
              64      16  818885 1492919  3738358  2561267 3791156 1484662  942521  2133730  2467108  1163036  1722886 3541098  4274062
              64      32  710511 2278628  4897948  4988978 5283570 1947927 1828508  2067979  3791156  1460430  2379626 4018152  4897948
              64      64  615952 1363961  5860307  5389653 5389653 1599680 2203800  1828508  4274062  2006158  1828508 4274062  2203800
             128       4  493989  715059  2066432  1939522 2098744 1217930 1278855  1561553  1997245  1406136  1074159 2660335  2843510
             128       8  757430 1440082  2660335  2985839 1363288  976473 2211113  2175277  3560017  1521718  1455701 3560017  3560017
             128      16  707520 1684006  4596273  2238774 4104338 1618028 3199360  2464907  3124872  1377278  1048974 1749872  1543594
             128      32  681476 2453642  2673584  2727923 4934216 1732927  831319  2558895  4557257  1878447  1076312 3124872  2985839
             128      64  919605 2727923  6045455  6406138 5784891 3468030 4267461  2558895  3468030  1196221   927549 2660335  1975201
             128     128 1000121 1579934  6045455  6045455 6406138 2464907 1911894  2905056  2621367  2326073  2132084 1878447  1905110
