	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 28 09:04:32 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  451299 1143223  1828508  2561267 2067979 1083249 1330167  1460430  2006158  1143223  1452528 1638743  1279447
              64       8  620221 1087638  3588436  3057153 2923952 1255511 1734015  2006158  2662899  1049372  1452528 3363612  3738358
              64      16  821391 1492919  2923952  4274062 4274062 1638743 2801873  2278628  3406295  1421755  1553394 2006158  3203069
              64      32  889431 1638743  5283570  4988978 4897948 1828508 3363612  2067979  4274062  1392258  2278628 3203069  3958892
              64      64  942521 1734015  5860307  4897948 2561267  592827 2203800  1690338  1933893  1947927  1033216 1828508   889431
             128       4  621518 1622919  2409592  2905056 2098744 1421023 1911894  1622919  2035099   748976  1183041 1755594  1772988
             128       8  776042 1663139  3277486  1254941 1939522 1359835 1705404  2175277  2969325   522346  1231904 3297617  3277486
             128      16  895074 1642783  4759253  4717434 4267461 1727352 3277486  2608629  3982553  1727352  1526043 2166499  3560017
             128      32  927549 1827299  5784891  5603747 5122535 1911894 3895854  2905056  4717434  2027414  1778862 1543594  4934216
             128      64  908709 1939522  6114306  4104338 5074121 1967960 3657016  2714132  5325799  1306873  4267461 1885042  4267461
             128     128 1000121 1377278  5545860  1684006 2286447 2058509 2098744  2066432  5122535  2166499  2098744 5847904  2784517
             256       4  364251  794889  2049885  2975955 2131261 1325925 1938842  1649865  2081678  1137672  1102624 2557711  2463808
             256       8  432471 1306564  2187712  3410808 3326279 1514860 1868008  2285501  1871263  1802167  1312954 2849590  3087188
             256      16  675391 1802167  2880164  4929815 4264168 1694118 2812272  2726577  3667079  1213534  1561112 1829808  2692393
             256      32  761623 1740810  1572543  5217259 5217259 3009318 2152625  3159869  4840911  1897721  1413179 2325094  4840911
             256      64 1084800 3123106  4907284  6398720 6107548 3557725 2486631  3159869  5687020  1540948  2607399 3823789  5810112
             256     128 1455317 1581810  4264168  4929815 6554972 2131261 3935921  2812272  6073004  1455317  1122215 2842047  5810112
             256     256 1243036 2152625  6936061  6554972 6936061 2152625 5022044  4009406  3654598  1570244  1673001 2943325  2480886
             512       4  616772 1038532  2099600  2942541 2132967 1252318 1455126  1662389  1413929  1187895   990168 1940253  1718254
             512       8  824431 1333173  2275345  3634839 3366987 1854787 2317080  2449212  2891043  1380303  1387437 3029721  2655129
             512      16  964378 1326585  2235086  2073249 2584820 1662389 1333173  2768068  1954379  1741948  1105920 1778004  1007827
