	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sun Mar  3 18:02:51 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  390278  769584  1828508  1828508 2067979 1119387  780776  1421755  1690338  1070292  1033216 1249666  1279447
              64       8  627470  889431  2278628  2467108 3203069 1526887 1363961  1933893  2298136  1119387   771797 1363961  1330167
              64      16  621657  811459  3363612  2561267 4018152 1780008 1690338  2298136  3057153  1255511  1143223 1780008  1226821
              64      32  566551  926260  3022727  3541098 4897948 2358717 1599680  2561267  3541098  1599680  1304314 2067979  2662899
              64      64  380864 1066042  5283570  4643754 5389653 2561267 1991276  2358717  2203800  2067979  1105556 1933893  4897948
             128       4  529038  800337  1911894  2784517 1997245 1165070 1332828  1543594  1504659  1231904   934004 1642783  1827299
             128       8  677178 1130717  2027414  2166499 3199360 1504659 1778862  2004703  3277486  1266785  1206978 1057236  2571150
             128      16  719853 1243315  2660335  2286447 4012317 1749872 1975201  1521718  3277486  1451764  1346196 2621367  2511022
             128      32  800337 1833539  3359523  3359523 4934216 2784517 2420455  2985839  4407601  2211113  1455701 3445772  2166499
             128      64  761728 2248149  3657016  4934216 5122535 1858934 2286447  2286447  4012317  1102844   819893 3053774  2211113
