	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 21 15:04:08 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  542506 1304314  2379626  1679761 2067979 1033216 1599680  1336792  2067979  1168097  1163036 2379626  2561267
              64       8  633392 1780008  3541098  4018152 3057153 1879725 1392258  2052169  3165299  1492919  1492919 3203069  2561267
              64      16  743988 2133730  4564786  2662899 4274062 1518251 2662899  2222043  3541098  1421755  1204796 2772930  1828508
              64      32  877797 1638743  5389653  4988978 4897948 1828508 2133730  2278628  2379626  1392258  1083249 2923952  2052169
              64      64  863676 1562436  5860307  5735102 5283570 2067979 1734015  2006158  1828508  1933893  1460430 2689580  1879725
             128       4  584313  876086  1487977  1749872 2098744 1074159 1858934  1561553  1997245  1217930  1185654 2098744  1727352
             128       8  735635 1471662  3657016  4135958 3277486 1492113 2132084  2132084  3199360  1306873  1504659 1778862  2660335
             128      16  857887 1642783  3759450  4717434 4267461 1749872 3124872  2035099  2326073  1017175   816154 1269781  1114289
             128      32  914904 2714132  5379161  2905056 4596273 1421023 2558895  2905056  4759253  2066432  2211113 4934216  5603747
             128      64  921183 1377278  5603747  3895854 6114306 1939522 4407601  2727923  5122535  1123617  2066432 4407601  6114306
             128     128  998261 3106789  4934216  3982553 6045455 3297617 1939522  2276751  2367096  2202044  1133103 2202044  6330599
             256       4  613985  907792  1868008  2812272 2114473 1117543 1704877  1629830  1652404  1137672  1153561 2325094  2509882
             256       8  695516 2061693  2463808  4264168 3245838 1430119 2607399  2345409  2557711  1325925  2030503 3810220  3410808
             256      16  876662 2392442  3043436  2480886 4197489 1642294 3326279  2819657  4132864  1600674  1694118 2152625  2148318
             256      32 1007446 1766587  4264168  4819184 5117791 1924938 2015259  2842047  4572895  1300235  1561112 4734192  3879045
             256      64 1132871 3009318  5841722  6249745 6107548 3499745 4929815  3159869  4572895  1881098  1108314 2419396  6249745
             256     128 1090308 1924938  4332998  6719046 6761355 2486631 4907284  2975955  6249745  1461259  2880164 5569035  6719046
             256     256  941213 2872459  6761355  7073132 6761355 2247235 4332998  1707589  2557711  1694118  3087188 3123106  7120034
             512       4  415630 1169140  2337255  1809465 2116152 1112797 1723770  1571169  1600443  1147892  1176828 2360376  2830083
             512       8  856319 1039035  2196227  4061007 3279573 1662389 2497638  2474613  2860238  1334001  1264858 1772135  2910635
             512      16 1108203 2391924  2722449  4610256 4195896 1741948 2032051  2906696  3659616  1834193  2253852 1300082  2681653
             512      32 1125040 1108203  1589779  1387437 2722449 1834193 1225169  2750343  3634839  1293037  1171691 1001715  1510391
             512      64  621413 1204552  1985091  2722449 5439343 2875558 1560891  3459188  4411377  1889050  1055894 1350783  1734911
             512     128 1024169 1140576  2875558  4204110 6736026 3320137 1667552  3678421  4457157  1904125  1778004 2560168  1795846
             512     256  969603 2073249  4784885  5164632 1677976 2099600 2768068  2708713  2830083  1421416  3239989 2962840  3104171
             512     512  721163 1679288  7211022  7115451 7115451 1754758 3346002  2207515  3140488  2483197  2178404 5439343  6319739
            1024       4  642016 1224752  1845071  2875184 2128533 1286763 1824690  1617808  2094282  1226150  1153071 1738989  2115949
            1024       8  824400 1387350  2198257  2985091 3304314 1928757 1157109  2448941  2861774  1508167  1391395 1471481  2516377
            1024      16  957884 1750329  2686359  3541348 3849207 1747480 2701567  2958362  3241960  1577984  1471481 2516377  4679604
            1024      32 1033237 1732676  3544270  2934110 5277632 1992279 2716948  3631168  3012308  1910737  2015654 1747480  2579861
            1024      64 1261072 1861867  3414650  4304412 5507740 2150918 3379719  3984917  6128613  1838751  1886400 3606774  3220084
            1024     128  886509 2633647  4550690  3390391 6733974 2169388 2960401  3908759  5065980  1973059  2444759 2822283  5958564
            1024     256 1281389 2065081  3643490  6609617 7101400 2968586 2796556  4356809  6569179  2798378  1681132 3189002  6787181
            1024     512 1570483 1416169  4079544  7160597 7257394 2592318 2510493  3348104  4282950  1438461  2305644 2281152  2048338
            1024    1024 1088213 1849042  6599461  6569179 6733974 2279941 2572135  3532609  3570790  3923040  2182617 3643490  1605111
            2048       4  632691 1183055  1771556  2837016 2113766 1287883 1407538  1577928  1712231  1261962  1132668 1583746  1955900
            2048       8  929968 1517976  1928240  3230749 3297725 2035623 2423929  2461436  1643753  1357061  1501525 2087567  3915540
            2048      16  783481 1723915  2348384  4267642 4204968 2120026 2270783  3016334  3946119  1921339  1574169 2441150  4063729
            2048      32  971513 1826943  2775597  4994712 5376082 2715922 2303669  3677503  2441150  2049709  1750259 2848305  5447681
            2048      64  923767 1894223  3106885  2832339 5953632 2238241 3029098  4128177  5670651  2148662  1851356 2782790  5723548
            2048     128 1417292 1977058  2031771  4572018 6690992 2332443 2585923  2608697  5769681  1806199  2014144 2839830  5184636
            2048     256 1201086 1510236  3174630  2790021 6543188 2235910 2076967  2147051  5578583  1676148  2013672 2879817  6149699
            2048     512 1478778 1581705  1954120  1612586 2817475 1520394 2793651  4385291  2479196  2060526  2231264 1954120  1713940
            2048    1024 1120405 1858566  4130162  6114678 6873016 3500658 2868277  4293237  3771144  1790388  2625441 2670330  5200329
            2048    2048 1105268 1917479  5800851  6397004 6711905 3555722 2321725  2531062  3204236  3372826  2288326 2345819  4796687
            4096       4  690015 1156363  1845946  1764788 1868635 1145415 1422668  1540960  1386053  1186880  1144423 1773166  1689800
            4096       8  842075 1311159  2230918  2737912 2844440 1846740 2019781  2244324  2067670  1359402  1435626 1898159  2618960
            4096      16 1040081 1662974  2222548  3641495 4096486 2306392 2172795  3049966  3207110  1489910  1579641 2461367  2341919
            4096      32  967182 1864174  2614177  2492796 3220336 1419846 2382847  3352296  3942321  2336505  1760267 2622558  3743865
            4096      64  945777 2004931  2670249  3497668 5056165 3117487 2082457  3723578  2394138  1608179  1273261 2790386  2661562
            4096     128 1133999 1997239  2403852  3079488 5327412 3043482 2291930  3474326  2732251  2269226  1934930 2817385  2712408
            4096     256  981101 2016936  2996241  2856263 3935097 1801994 3029528  4566920  6861502  2238184  1965478 2912925  3682869
            4096     512 1162624 1979519  2432442  2612190 4390677 2836925 2818772  4289813  6967243  2058256  2070910 2523925  3086681
            4096    1024 1290089 2059243  3189841  3989004 4456740 3079488 2862450  4581535  5185897  2375598   914659 2850576  3561476
            4096    2048 1084806 1304786  1779411  4003879 3637640 2246966 2549015  3823862  3683658  1714591  2456792 2329851  2445252
            4096    4096  896896 1572987  2145658  1888560 1981574 1560982 1762615  1240530  1995152  1634495  1662331 2080188  1697480
            8192       4  642408  963434  1734481  1805574 1547958 1081317 1309450  1657344  1539221  1096780   985570 1657904  1706654
            8192       8  875032 1319609  2125589  2061319 2101024 1395047 1834299  2558468  1912294  1344077  1273629 2145096  2144962
            8192      16  990685 1642685  1917523  2461509 2320693 1627358 2148449  3018564  1912188  1447103  1523523 1822526  2351344
            8192      32 1016115 1448140  1620604  1529832 1002448  469563 1316172  2452724  1714916  1291680   843229 2181597   826793
            8192      64  703591 1325975  2183399  2356020 2658845 1773973 1915386  3804725  2271146  1575715  1537499 2026309  2128881
            8192     128 1064731 1690116  1594063  2511345 2498380 1684977 1918487  3286187  2276262  1676918  1653913 2681462  2142287
            8192     256 1039477 1680445  2454125  2389610 2377210 1823300 2415140  4362141  2646761  1356280  1751903 2433787  2753668
            8192     512 1137295 1960746  2775018  3155510 3291223 2256233 2958525  4162392  6491781  1777000  1662637 2784463  2729821
            8192    1024 1131974 1832245  2792156  3240626 3354851 1810045 2730472  4525898  6248582  1956058  1478677 2904996  2511345
            8192    2048 1029912 1731247  2500562  2832670 2560756 1792481 2197503  3368665  3316639  1217575  1226922 2555234  2694711
            8192    4096  921498 1126962  1397259  1483273  965030 1076068 1700320  1541016  1855898   835661  1829416 1478422  1818379
            8192    8192  878590 1432204  1613905  1639706 1589491 1374235 1609143  1365985  1601568  1344919  1313857 1586702  1618009
           16384       4  661815 1179211  1644132  1788833 1391679  952059 1228651  1486765  1366795  1121807  1102107 1633191  1534951
           16384       8  832561 1357882  1975844  1811419 1822082 1334960 1713454  2390757  1686458  1395920  1359198 2164610  2203973
           16384      16  955395 1596723  2101846  2385529 2156662 1576611 1745797  2297249  1742256  1231602  1515921 2377605  2328226
           16384      32  919880 1768531  2626007  2608562 2515187 1751180 2558736  3625438  2438520  1712216  1630711 2523778  2800669
           16384      64 1052014 1826926  1105155  1283713  944327  688635 2673617  3065944  2436964  1744290  1683524 2376208  2864886
           16384     128 1147661 1893004  2895791  2929492 2915325 2032530 2594871  4362087  2416823  1628315  1775843 2852874  2800212
           16384     256 1127439 1934136  2783088  2458586 2551610 1530507 2326256  4629505  2507112  1435429  1730280 1953267  2402039
           16384     512 1171212 1907559  2426894  2898356 2927745 2096780 2725686  4561287  2926249  1816783  1651481 2864767  2951004
           16384    1024 1115235 1895458  2900314  2588713 2403803 1696408 1866271  4463229  4760019   930694  1816399 1856740  2141740
           16384    2048  881382 1687825  2408690  1291408  633780  709847 2617305  3724470  4378485  1405139  1296500 2137809  2598207
           16384    4096  929749 1309995  1579329  1823290 1797865 1475496 1703979  1577190  1815391  1085173  1176586 1757899  1761143
           16384    8192  738610 1232817  1556083  1528362 1617849 1319047 1573579  1226699  1430529  1090079  1586952 1576431  1371049
           16384   16384  906496 1360571  1234744  1407672 1588345 1314732 1556647  1292525  1521998  1362378  1204446 1599213  1501480
           32768      64 1128798 1784346  2654142  2649180 2587875 1794527 2642558  3970410  2653527  1733943  1655535 2805460  2728598
           32768     128 1145651 1838751  2739093  2835324 2760327 1812490 2708113  4525960  2643676  1584990  1615393 2827507  2612867
           32768     256 1169615 1903354  2184247  2405352 2466918 1718485 2098118  3452909  1791300  1155961  1169615 2146752  2368338
           32768     512 1025894 1530998  2826751  2537562 2509805 2005769 2672983  4613933  2744617  1629373  1718571 2505184  2547108
           32768    1024  957263 1775747  2204674  2379532 2082635 1488371 2485971  3001518  2746427  1480372  1012831 2781669  2699178
           32768    2048 1022179 1686454  2463955  2176705 2036560 1600457 1958159  2606821  2855885   980370  1138288 2060745  2137636
           32768    4096  813827 1103415  1768754  1530640 1726906 1422030 1756435  1452354  1786201  1111913  1076974 1651378  1684986
           32768    8192  881262 1230728  1379773  1580088 1589370 1353334 1577875  1303260  1574693  1158904  1088170 1598986  1452738
           32768   16384  813364 1175658  1592003  1419768 1537816 1324868 1449964  1371156  1332562  1124614  1434872 1374089  1432359
           65536      64  958127 1512347  2768607  2789851 2439460 1726860 2123924  3364610  2079921  1165562  1536173 2492527  2672095
