	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Tue Feb 19 21:02:27 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  474430 1002351  2067979  2772930 1638743 1101022 1679761  1526887  2067979  1183548  1049372 1279447  2561267
              64       8  733819  886494  1599680  4018152 3363612 1460430 2379626  2133730  3022727  1330167  1933893 2892445  3791156
              64      16  771797 1526887  4564786  4564786 4018152 1679761 3057153  2379626  3541098  1562436  1734015 2561267  4018152
              64      32  780776 2133730  4897948  5389653 4897948 2801873 3203069  2892445  4018152  1828508   998622 3057153  4897948
              64      64  901377 2379626  2892445  5860307 5860307 1879725 3738358  1947927  4274062  1690338  2689580 2358717  1722886
             128       4  603357 1152564  2969325  2843510 2132084 1133103 1727352   528517  1521718  1185654  1543594 1710838  2727923
             128       8  677178 1455701  4135958  4267461 3297617 1455701 2843510  2248149  3468030  1504659  1436229 2420455  4135958
             128      16  927549 1663139  4934216  4267461 4135958 1755594 2464907  2660335  3867787  1123617  2286447 1939522  4759253
             128      32  992724 1579934  3759450  5325799 5122535 2035099 3982553  2211113  4759253  2027414  2098744 4759253  4407601
             128      64 1040839 1911894  5784891  6406138 5847904 2132084 4135958  2784517  5379161  1471662  1032829 3277486  6114306
             128     128 1048974 2673584  6727225  5784891 6045455 2066432 2211113  2326073  2464907  1705404   722760 2248149  3867787
             256       4  469743 1007446  1600674  1632308 2081678 1052888 1057034  1588832  1506359   827989   958864 1683493  1319408
             256       8  697776 1325925  1463250  1907837 3207059 1463250  928195  2305128  1907837  1163562  1743637 3052087  2187712
             256      16 1036624 2242541  2435861  4422226 4197489 2266207 2165650  2754556  3810220  1272498  2015259 2413957  4819184
             256      32 1147398 1884399  4496299  4404088 4755158 1894373 2114473  3285566  4998665  1985448  2000242 3454704  2019049
             256      64 1080434 2223962  3605511  5022044 6107548 1970871 3823789  3368013  5687020  2097948  1219045 3511189  2557711
             256     128  624702 2345409  6249745  6554972 6719046 3705040 4652146  1718521  3087188  1354356  1178892 3454704  6437081
             256     256 1158540 1675612  7120034  6213578 6719046 2081678 2872459  2557711  5320671  3823789  3557725 3865082  4652146
             512       4  426358 1207261  2152206  2207515 2132967 1120344 1590957  1672748  1254513  1096322  1060063 2265742  2815243
             512       8  717069 1483267  3163620  3970896 3140488 1463057 1279935  2486072  3029721  1910902  1551867 1835760  3409755
             512      16 1137555 1701913  2548017  4650188 4099771 2483197 3029721  3008498  1882427  1524329  1550747 3239989  4305250
             512      32 1147892 1264858  3481620  2708713 5331314 1910902 2368185  3556580  4701087  2337255  1614885 2625909  5453155
             512      64  680918 1975959  3437042  3634839 6174377 2097550 2350044  2841317  5807059  1434711  2099600 3029721  3970896
             512     128 1185272 3158966  3736016  6821616 6736026 3849877 2509312  3659616  6174377  3012719  3279573 4784885  6757222
             512     256 1300082 1910902  5886650  7091952 7022379 2360376 4927617  2826358  4827914  1753325  1809465 3877684  6931711
             512     512 1248678 1541840  7309196  7309196 7211022 4061007 4123387  4068701  1209982  2339802  2225819 3201349  6909408
            1024       4  542101 1446211  1523683  2094282 1943594 1136593 1695735  1338494  1442326  1078106  1309518 2077065  1780809
            1024       8  616136 1519371  2774874  4249053 3358576 1812371 1321200  2183727  2343383  1532928  1444266 3142339  3696803
            1024      16 1048113 1477555  2646630  4356809 4232305 2169388 2090206  2968586  2497356  1771262  1220575 3160839  4451639
            1024      32 1101046 1309518  3594699  5690162 5363307 2165014 3849207  2541692  2306882  1673273  2138070 2813041  5472650
            1024      64 1163693 1697745  3436508  6059442 6244448 3506651 2484355  4099011  5251818  1738989  1643814 2760606  2672984
            1024     128 1333507 2081090  3821805  3369115 6733974 2236023 3544270  4146499  6519323  1526390  1882266 3074849  4079544
            1024     256 1170352 1792702  3495237  6393168 7020149 3121783 3643490  3849207  6650556  2348509  2028027 3314514  5018624
            1024     512 1132697 1771262  4614246  6974549 7208671 2646630 2259550  3271594  5991815  1738286  1239598 3355952  6650556
            1024    1024 1351126 1961346  7208671  7208671 7369466 2472911 2958362  2774874  3055164  1599731  1995982 3735385  6402699
            2048       4  568877 1319537  1798259  1763917 2098276 1066700 1329751  1707806  2023634  1404776  1190763 1972971  2677822
