	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Wed Feb 20 21:03:45 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  404998 1033216  2067979  2133730 2133730 1070292 1183548   983980  2006158  1083249  1460430 1304314  2467108
              64       8  703068 1734015  2067979  3363612 3363612 1210227 1304314  1947927  2662899  1518251   913649 1492919  3203069
              64      16  620221 1484662  3541098  4564786 4018152 1679761 1879725  2203800  2133730  1183548  1599680 3203069  3958892
              64      32  769584 1780008  5283570  4897948 5389653 2662899 3363612  2892445  4018152  1105556  2444640 2923952  4897948
              64      64  752329 2278628  5283570  5389653 1105556 1232453 2561267  1933893  2662899  1421755  1879725 2772930  4564786
             128       4  667081 1254941  2784517  2660335 2066432 1359835 1539168  1598754  1967960  1504659  1142750 2499332  1319723
             128       8  630273 1424795  1967960  1997245 3053774 1332828  908709  2166499  3053774  1231904  1732927 2660335  3895854
             128      16  743788 1121270  4267461  4557257 4135958 2511022 2714132  2660335  3759450  1579934  1598754 3536566  3199360
             128      32  794416 1421023  5325799  3199360 5325799 1939522 3277486  2367096  3982553  1967960  2098744 3359523  5325799
             128      64  955616 1487977  5545860  5325799 1778862 1561553 2098744  1997245  2843510  1436229  2132084 4717434  5847904
             128     128 1048974 1684006  1373754  5545860 6406138 2843510 4135958  3759450  4717434  2905056  2326073 1294270  5325799
             256       4  632056 1570244  2413957  1938842 2114473 1103757 1292410  1619994  1897721  1280084  1201314 1778290  1855098
             256       8  768712 1855098  3994490  1907837 2872459 1019886 1561112  2330140  3197509  1400278  2015259 3511189  4197489
             256      16  907792 2371308  2842047  4070199 4197489 1763685 2247235  2061693  3935921  1543163  1463250 2943325  4264168
             256      32  809878 1479379  3454704  5428265 2533571 2975955 1525622  1384034  4264168  1755037  2842047 5117791  5569035
             256      64 1312954 1579483  3285566  3197509 6073004 2015259 4929815  3879045  5810112  3123106  3285566 1514860  4840911
             256     128 1052888 2747508  3717869  5687020 6554972 3465855 3275543  4070199  6249745  1817419  4652146 2463808  6213578
             256     256 1254656 3285566  7120034  7314033 6936061 3770085 3756894  3865082  1740810  1570244  1686137 2943325  6936061
             512       4  516618 1187895  2845081  2906696 2141475 1150968 2007358  1527582  1099128   932550  1180062 2782414  2483197
             512       8  785241 1524329  3346002  4271001 3346002 1429934 1916017  2178404  2958758  1387437  1258188 1201856  2815243
             512      16  814117 1279935  2768068  4610256 4228947 1875849 2427068  2891043  2150051  1442420  1365383 3177664  4494470
             512      32  964378 2486072  3086326  2782414 2695115 1580419 3415178  3556580  5115422  2695115  2486072 2891043  4340054
             512      64 1174254 1689859  2975154  3140488 6156675 1630828 3409755  3710197  4237291  1329871  1463057 2910635  4155301
             512     128 1273861 2024389  2722449  3220553 2207515 1546280 1875849  3388236  5331314  2216629  2544997 2198475  2572435
             512     256 1264113 1064266  4827914  6246213 6931711 2207515 5495016  3099691  5067142  1078159  1614885 1520013  2063289
             512     512  982467 1848401  7309196  7022379 7211022 2339802 3580298  2246778  4411377  1630828  2169601 4784885  2460437
            1024       4  673318 1262555  1888889  3003881 2128533 1170352 1430318  1689730  1984913  1072185  1227903 2559871  2592318
            1024       8  820463 1271902  2138070  2311849 3112733 1492963 2015654  2472911  3112733  1345201  1452570 2316837  1976691
            1024      16  996094 1602118  1949771  2160657 2509027 1659694 2976816  2942149  1723636  1612948  1563053 3271594  4876180
            1024      32  877454 1909888  2674649  4146499 4654248 1720874 3618930  3606774  5042191  1777125  1174192 2666347  5277632
            1024      64 1233545 1790460  4282950  6137371 5720477 2987168 2472911  3458646  4300102  1834824  1861867 3160839  4451639
            1024     128 1372717 1607514  3355952  5821271 6733974 2617596 4589593  3712781  4415030  2019445  2225595 2934110  6364746
            1024     256 1331440 1939207  3461434  3271594 6819511 2255990 1514549  3495237  6208343  2201637  1452570 2659742  4146499
            1024     512 1137798 2987168  6172653  3955557 6199382 2133821 2619192  1848247  3447541  1544504  2751762 4531485  6244448
            1024    1024 1140214 2085132  7113161  7319232 7208671 3324778 2222141  2491561  2875184  3532609  2343383 2375790  5472650
            2048       4  602007 1194738  1708146  1625402 1831618 1070556 1520394  1670281  1462911   874043  1124660 1799389  2327387
            2048       8  861249 1750259  1670606  2272586 2868277 1773385 1647536  2540795  3034448  1299574  1384623 2285282  3423913
            2048      16  968337 1503891  1875201  3302797 2446713 1701042 2202092  3047366  3894239  1673209  1566989 2324867  3230749
            2048      32   11247 1810768  2913021  5433896 5319484 2491420 2612664  3730203  5107566  2190300  1660915 2669500  4957240
            2048      64 1091782 1997749  2941954  5937172 6243566 2925920 2720222  4172290  5629769  1820362  1809243 2378952  2601586
            2048     128  970635 1541955  2646472  2569678 3819776 2525852 2662880  4481379  5640860  2687036  1801275 2955111  2741055
            2048     256 1055040 1908532  2412357  2756890 5904523 2730599 3155969  4423683  6479029  1504681  1392253 3255235  3567536
            2048     512 1235996 2243502  3482209  6321679 7183386 3530875 2917969  4432815  6543188  2573527  2252916 2848305  4911886
            2048    1024 1025075 1703741  4248644  6114678 6802261 2639154 2960203  4104506  1793378  1621413  1480817 3070239  5444228
            2048    2048   23729 1961707  4365235  6629029 6649556 3043048 1830057  2303669  1984824  1711208  2219159 2534797  3871422
            4096       4  538658  960638  1782364  2360908 1602479   53719 1300736  1343457  1597413  1116097  1071077 1649562   105960
            4096       8  833860 1447358  1881528  2149147 2752828 1430605 1863567  2405199  1591346  1286418  1168952 2138979  2640698
            4096      16  959511 1400859  2358315  2173070 1664424   80768 2143249  2888438  2323234    54573  1352233 2254337  3522048
            4096      32 1229345 1610138  2506617  2532855 4581535 2070660 2552044  2803592  2598755  2373301  1754873 2642322  3968731
            4096      64  994907 1938423  2929815  4196552 5572803 3136268 2597184  3540193  2767462  2482351  1117840 2307631  2353791
            4096     128 1234824 1912315  3070682  4192455 5696610 3410865 2406546  4253700  2842558  1826906  1626603 2832715  4052041
            4096     256 1232255 1955189  2040896  2852469 4132949   82316 2582737  3835814  5013377  1074157  1907008 2927818  3549702
            4096     512  969912 1999797  2494244  3516281 5497899 2878758 1887523  4184286  5746149  1923879  1415401 1914019  2117884
            4096    1024 1270530 2011740  3500519  4293029 4882301  108054 2854365  4520059  5044289  2243152  2134461 2083467  2015752
            4096    2048  664397 1051862  1795779  3072878 3202328   47164 2714122  3489144  2790386   978029  2167039 2719708  1300736
            4096    4096  839155 1452007  1666362  1118786   47359 1466634 1460276  1219398  1274016    40550  1460276 1288927    64194
            8192       4   75434 1173135  1775806    92209 1370836   71085 1362140  1591922   194828   149160  1147665 1724643   106950
            8192       8  174320 1374730  2099996  2347970   92804 1454761 1828929  2230890   127192   152477  1405834 1905084  2011363
            8192      16  182404  153961  2062433   128633 2506764 1522376 2014784    94275  2045976  1320827  1588536 2344445  2144560
            8192      32 1000114  148737  2602260  2413613   93854 1822913 2460099  3681608  2384138   200137   200332 2644316  2681462
            8192      64 1090238 1799334    77364   120173 1652959   54396 1673162  4019714  1586043  1258008   155242 2788304  2619719
            8192     128 1124013 1395557  2060330   108988 2944580 1935235 2700004  3165394  2821736  1818764   283127 2728954   203289
            8192     256 1217618 1969287  2808359  2877505 3027341 1892388 1845431  4083733  2867180  1870344  1738166 2793064  1907305
            8192     512  121033 1899397  2618123  2339815 2632364 1826887 2879434  3978753  5461897  1987398  1925259 2033264  2621318
            8192    1024  147484 1882745   307025  2855505 3098317   92062 2518339  4602281  6936028  1740015  1214906 2830803  2677909
            8192    2048 1009754 1417784  2918568  2602260 2697461   81296 2218789  2391106  4640821  1733781   150618  124081  1899397
            8192    4096  115979  152562   148713  1406352 1723173   80378 1791827  1549494  1926663  1050955  1656625 1829805   126697
            8192    8192   76927  149492  1582682    72409 1495735 1274196  199288  1456859  1495995  1332247   149653  105374   126003
           16384       4   90374  164724  1799278  1765124  136094   74071  135176   138756   191722    89409    78892  150394   229995
           16384       8  139821 1438464  1995408   141218   66925   47801  114993   233743   174755    99995   312415  239067   368295
           16384      16   93794  337335   288404   289669  139446  135276 1839002   160573  1834681   170851   231703 2171519  2312789
           16384      32  215936 1812375  2652359  1910264  180502  139348  205942  3647374   530088   233809  1640991 2560356  2371452
           16384      64  156135 1631717  2665321   246802 2415463  140190 2603128   162484  2552842   126849   124150 2777015  2549244
           16384     128  131297  172160  2265143  2074938  176583  154414 2780723  4332113  2836505  1706476  1627968 2777015  2509859
           16384     256  190919  127140  2688575  2703595  179491  127930  247320   216050  2716098   152549    96128 2068691  2458938
           16384     512  119088 1714908  2824265   239788  177091  139841 2457092   164166  2696488   192952   171167 2320678   303071
           16384    1024  148529  137279  1740579  2883519  160381 1964490 2663668  4321760  6751231   172291   147670 2397012  2778924
           16384    2048  212705 1630246   115860   246257 2363865   74770  129311   143655  3589833   122777   148006 2220998  2544524
           16384    4096   87712   85233  1629589  1765532  115898  152379 1732461   136449  1829406   132542   335654  139441   235534
           16384    8192   77293   95154   137902   152766  168080  135848  196608   136303   280851   147369   352230  173990   137119
           16384   16384   77398  269251   138033   138536 1491217  136454  172138   149512   113169    74041   122044  192707   152612
           32768      64  123636  172145  2512328   328899  263769  145948  183374   277987   376687   170159   119122  122301   167845
           32768     128  112598  216112  2593833   447662  297134  140130  264121   282750   327945   173108   171932  236530   203613
           32768     256  131308  152755   288418   169379  298191  256312  336444   281894   383708   149747   172192  680880  2859807
           32768     512  166739  168974   388477   303511  245849  287113  445932  4791350  2797864   162638   187573  433846   389608
           32768    1024  126732  610693  2753415   441017  303435  262915  296287   279635   439362   256147   255574  326579   386712
           32768    2048  126147  252187  2128466  2522750 2497945 1804612 2529389  4052954  6010413  1020562  1171799 2294672  2354019
           32768    4096  933639 1310929  1677152  1752113 1640537 1277897 1314138  1047203  1813494  1095010  1094313 1763330  1470001
           32768    8192  910802 1258946  1557191  1615697 1540056 1215243 1355002  1315295  1522889  1065312  1232108 1471071  1593166
           32768   16384  858608 1137063   756660   635915  582541  561076 1410399  1251552  1417308  1099381  1589683 1533714  1411921
           65536      64 1010874 1609112  2464216  2551928 2626896 1656162 2653061  3912640  2276180  1335429  1574854 2731901  2679309
           65536     128 1028696 1721960  2520825  2696948 2774476 1707413 2577532  4482913  2814387  1358879  1209371 2237038  2383986
           65536     256  955502 1498137  2845326  2331829 2698749 1676372 2821175  4602561  2805941  1424852  1270542 2843972  2549939
           65536     512 1037471 1680503  2570638  2782592 2339728 1812332 2756032  4594868  2882987  1271724  1481208 2561416  2539573
