	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 28 21:04:26 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  560635 1143223  2133730  2278628 2067979  983980 1330167  1484662  1330167  1163036   913649 1933893  1421755
              64       8  688639 1780008  2662899  3958892 3057153 1363961 1492919  2067979  3022727  1357066  1933893 1879725  1526887
              64      16  627470 2133730  4564786  4564786 4018152 2467108 1385075  2222043   402569  1279447  1255511 3203069  4207076
              64      32  855419 1087638  5283570  4897948 4897948 2444640 3022727  3057153  3057153   727850  1049372  331481  4564786
              64      64  789967 1204796  6421025  5735102 5389653 1991276 1879725  1828508  1879725  1828508   733819 2467108  1734015
             128       4  565838 1471662  1878447  2377579 1911894 1278855 1319723  1579934  1827299  1217930  1291158 2673584  2843510
             128       8  757430 1076312  2140585  1349580 2727923 1579934 1015251  1967960  2464907  1172704   969421 1175271  1111981
             128      16  304037  766076  1561553  1017175 3657016  969421  789741  2166499  2175277  1278855   669577 1377278  2098744
             128      32  612303  847059  1772988  1802755 3657016 2058509 1303699  2784517  2905056  1755594  1471662 1905110  1085013
             128      64  789741 2660335  2027414  5847904 5545860 1939522 3657016  2409592  2727923  1642783   992724 3560017  4934216
