	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Thu Feb 21 06:03:36 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  247907  799377  1363961  1363961 1991276 1210227 1049372  1452528  1679761   863676   727850  385237  1679761
              64       8  474430  842003  2006158  1599680  929467 1452528 1101022   789967  2662899  1143223   587635 1492919  2444640
              64      16  481234  901377  2067979  2133730 3588436 1828508 1336792  1933893  1933893  1226821   752329 1892980  1452528
              64      32  557144  942521  2561267  4207076 4274062 2067979 1638743  2278628   703068  1232453  1279447 2662899  2662899
              64      64  608965  829001  5283570  3738358 5389653 1638743  852702  1933893  2278628  1484662  1033216  659861  1991276
             128       4  549618  836500  1997245  1561553 2098744 1074159 1102844  1455701  1254941   962469   831319 1377278  1142750
             128       8  537512 1406136  1802755  3124872 3124872 1802755  809997  2132084  3297617   563463   731625 1637771  3124872
             128      16  579270 1346196  2004703  2558895 3560017 2027414 1802755  2420455  2571150  1102844  1294270  859260  1440082
             128      32  637004 1421023  2673584  2608629 4934216 1755594 1778862  2660335  2608629   969421  1196221 1618028  1905110
             128      64  362553 1196221  1421023  2132084 4934216 1778862 1858934  2727923  1622919  1294270  1278855 1155043  1526043
             128     128  876086  976473  6114306  6114306 6406138 2558895 1471662  1967960  2367096  1539168   621518 1220700  3759450
             256       4  507966 1142514  1694118  1286217 1881098 1293967 1398455  1600674  1008392  1173737   760006 1752173  2350543
             256       8  501794 1142514   768712  1704877 2557711 1080434 1461259  1362952  2187712  1718521  1471270 2247235  3654598
             256      16  831194 1142514  2170027  3823789 4197489 2509882 2719671  2842047  3245838  2305128  1842366 3159869  2975955
             256      32 1031644 2463808  4819184  4197489 4009406 2842047 2588541  2943325  3667079  2097948  2266207 4332998  2187712
             256      64  639967 1504249  3009318  2747508 5971678 1894373 1280084  3009318  3654598  1740810  1938842 2639446  1855098
             256     128  984356 1497953  2903529  3236056 6213578 3078337 1740810  3410808  3717869  1673001  1817419 3123106  4132864
             256     256  891956 1312954  5841722  6761355 6554972 3245838 2812272  2588541  1855098  2371308  1855098 1897721  2486631
             512       4  370459  944444  1595686  1429934 2073249 1176828 1316823  1595686  1809465  1026126   842214 1705969  1497750
             512       8  577776  967855  2116152  2207515 3325278 1560891 1797349  2196227  1270094  1293037  1221684 1999881  2926501
             512      16  515626 1391933  2471765  2416145 4163357 1770674 1185272  2860238  2009236  1438555  1589779 1565443  3239989
             512      32  979331  888930  2394591  1975959 4732165 1723770 3710197  3481620  5115422  1931527  1434711 4271001  5509113
             512      64  954944  876593  2160868  2350044 5227492 2424328 1954379  1856390  2532990  1783912  1605228 3415178  5177083
             512     128  782951 1580419  3068685  3510074 4871723 2860238 1740536  2548017  2638816  1679288  1791352 1645826  1718254
             512     256  772252 1815584  3437042  6395018 6491676 2991733 2906696  3259661  3163620  1594501  1829505 1940253  4000485
             512     512  975328 2753870  6909408  6821616 7115451 2246778 2235086  3795443  1652157  2189509  1747618 1662389  1350783
            1024       4  637253 1132697  1462960  1235319 2008114 1154311 1370965  1649496  1741810   937805  1070048 1430318  2722114
            1024       8  679927 1326505  2031864  2115949 3249318 1528563 1638171  2207295  2592318  1848247  1256277 1473500  2197132
            1024      16  739389 1582636  2031864  1546729 3791442 2338280 1592022  2295784  2077065  1198772  1528563 3003881  4789183
