	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Fri Mar  1 12:02:53 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  426897  913649  1828508  2203800 2052169 1083249 1679761   942521  1599680   955947   929467 1780008  2467108
              64       8  565358 1101022  3203069  3057153 2222043 1421755 1879725  1452528   983980  1204796  1421755 1991276  1562436
              64      16  659861 1304314  3738358  3541098 3057153 1690338 2222043  1828508  2689580  1304314   718114 2772930  4274062
              64      32  901377 1392258  4274062  3791156 3057153 1828508 2662899  2133730  3057153  1183548  1429325 3203069  1879725
              64      64  754443 1518251  4897948  4207076 2923952 1991276 2923952  1255511  3541098  1226821  1599680 3588436  4018152
             128       4  551312  785122  2166499  1772988 2132084 1040839 1162547  1579934  1526043   962469   969421 2621367  2132084
             128       8  670413 1102844  3053774  3124872 2453642 1185654 2066432  2098744  2621367  1543594  1085013 2727923  2985839
             128      16  615814 1231904  3468030  3560017 4135958 1778862 2905056  2608629  2905056  1755594  1421023 3895854  2238774
             128      32  826202 2499332  5122535  2714132 5122535 1852520 3657016  2286447  3560017  1975201  1802755 4717434  3982553
             128      64  913347 1377278  4717434  4557257 6114306 2166499 3277486  2286447  3199360  1000121  1048974 2464907  4444086
             128     128  969421 1471662  5122535  4407601 6727225 1997245 1878447  1911894  4267461  1939522  1504659 5325799  4557257
             256       4  499925 1016025  2613746  2582316 2131261 1112909 1195962  1642294  1718521  1208072  1190657 2015259  2943325
             256       8  567575 1610276  2187712  3756894 3326279 1463250 2665657  2285501  2639446  1248819  1231629 2613746  3879045
             256      16  729540 1213534  3454704  4840911 4197489 1479379 2692393  2557711  2783115  1180188  1694118 3823789  3017775
             256      32 1084800 1581810  3285566  4054829 4652146 1985448 3009318  2639446  3705040  2247235  1376935 3245838  5455847
