	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Wed Feb 27 21:04:51 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  326641  500060  1087638  2772930 2067979  598110 1279447  1452528  1879725  1105556  1087638 1330167  2662899
              64       8  769584 1363961  4018152  3738358 3057153 1421755 2358717  2052169  2923952   998622  1013707 1828508  3541098
              64      16  821391 1492919  4274062  3541098 4018152 1599680 2561267  2278628  3022727   710511  1188789 2662899  4897948
              64      32  610350 1638743  4988978  4018152 4897948 1648808 2006158  2379626  2561267  1638743  3203069 1828508  5283570
              64      64  916769 1330167  5860307  5860307 5283570 1828508 2052169  1828508  4564786  3363612  2561267 4274062  5283570
             128       4  496272 1123617  2727923  3053774 2098744 1111981 1539168  1539168  1684006   618653  1142750 2166499  1684006
             128       8  753179 1471662  3536566  2843510 2985839 1455701 1421023  2166499  2377579  1319723  1487977 3445772  4104338
             128      16  914904 1684006  3053774  3053774 3982553 1658003 2843510  2004703  3982553  1579934  1755594 4267461  4717434
             128      32  780556 2464907  3785961  5847904 5122535 2784517 3277486  2727923  4759253  1939522  2248149 3053774  3560017
             128      64 1111981 1852520  6045455  6727225 4267461 2090572 4557257  2326073  5325799  1319723  2558895 4135958  6406138
             128     128  901083 1858934  5847904  6406138 5784891 2035099 2858650  1663139  2286447  1504659  1373754 1997245  5122535
             256       4  592636 1152323  1897721  2975955 2097948 1103757 1549845  1579483  1673001  1076103  1108314 1894373  2000242
             256       8  821025 1224606  3545976  3605511 3245838 1897721  649647  2266207  2880164  1391207  1201314 2102055  1707589
             256      16  914752  941213  2639446  3756894 3605511 2463808 2097948  2533571  3705040  1540948  1398455 2305128  2557711
             256      32  856386 2205688  4652146  2413957 5217259 1817419 3499745  3245838  4929815  1707589  1163562 2097948  3994490
             256      64  822913 1610276  1662639  6249745 4907284 2266207 2371308  3236056  3994490  1881098  1300235 2441400  5117791
             256     128  954602 1884399  6073004  6249745 6398720 2152625 2563818  3499745  5841722  1506359  3236056 4819184  6554972
             256     256 1175022 1884399  6761355  6936061 6936061 2325094 5022044  2065659  5687020  2065659  2187712 3879045  1802167
             512       4  650593 1476130  1924603  2782414 2089386 1113374 1533034  1616100  1977778  1222379  1191189 2370799  2665014
             512       8  846197 1480200  3586277  4163357 3122224 1520013 2116152  2391924  3177664  1594501  1380303 2253852  3239989
             512      16  895230 1712772  3012719  4375425 4061007 1677976 3012719  2668325  3659616  1759070  1471074 3122224  4228947
             512      32  793657 1616100  3177664  5164632 4973263 2039772 2708713  3556580  5227492  1624659  2347475 1975959  3788747
             512      64 1185272 1910902  4784885  3905895 6174377 1889050 2317080  3710197  5744919  2304647  2016784 4882800  5699180
             512     128 1230786 1961520  5067142  4742616 6174377 2124526 2926501  3877684  6319739  2486072  2405320 3325278  5331314
             512     256 1080328 1992458  6174377  6999490 7022379 2381315 3325278  3239989  5760329  1560891   901241 2811557  5127637
             512     512 1150351 1904125  7115451  7410080 7211022 2560168 3393590  2427068  2535981  2391924  1834193 2107844  7211022
            1024       4  682303 1082454  2211841  2789291 2124322 1169078 1434138  1565902  1899750  1144163  1019987 1815435  2910252
            1024       8  917570 1062372  2398343  4126579 3314514 1947119 1503942  2251260  1750329  1524224  1426517 2142335  2060128
            1024      16 1026078 1532928  1466957  2950233 2321847 1646334 2498809  2829721  2305644  1000969  1434138 2916180  3835457
            1024      32 1205839 1267398  2681328  2694787 5330028 1824690 2419964  3249318  4589593  1628234  1563053 1345623  1995982
            1024      64 1169078  876737  2485792  5536137 6208343 2534194 1942715  2284793  5200941  1777861  1932227 2133821  2478620
            1024     128 1245710 1179674  3481072  6163794 6702448 2632033 4694950  2985091  5536137  1988589  2133821 3891053  6830356
            1024     256 1132995 2060128  4374559  6519323 7113161 2353657 2774874  3778101  6244448  2461573  1783768 2281152  3764854
            1024     512 1224752 1589665  2640123  3495237 6692005 2579861 1825466  1283303  3735385  1724328  2414523 2358827  4126579
            1024    1024 1258117 2133821  7113161  6692005 7008693 1193442 2391665  2559871  4609294  2251260  1950656 2398343  6208343
            2048       4  674789 1183055  1798259  2810101 2096227 1345792 1376193  1671907  2043857  1047067  1151341 1774851  2744558
            2048       8  798112 1241893  2395538  3857514 3314266 1929972 1858566  2485653  3117032  2006147  1508115 2109613  4086930
            2048      16 1088186 1285570  2798201  2605532 3871422 1720807 2494314  3033377  3786104  2321725  1343687 2432853  4623699
            2048      32 1060642 1978880  2572756  4511980 5362657 2694623 2646472  3538147  4104506  1605053  1965297 2619037  4204968
            2048      64 1350023 1903457  3245396  5389574 6225466 3215029 3160613  4154130  5018054  2793651  2167092 2137434  4008732
            2048     128 1106407 1657071  2942962  2562778 3210223 1863404 2072957  4170264  6058611  2009902  1939560 3256469  3937075
            2048     256 1020448 1897990  3229534  5535444 6895083 3146720 3024831  4462754  3709263  1265122  1611074 2872113  5492967
            2048     512  889613 2016035  3506373  6114678 7106133 3089009 3121562  4435103  5018054  1593737  2185285 2884652  5277002
            2048    1024 1360715 1994039  5056455  6543188 5704543 4046500 3298992  4356379  4180412  1809243  2365196 2741930  1745635
            2048    2048 1092894 1515833  5564129  6092991 6711905 3841986 2967361  3683812  2681165  2727131  2096227 2629459  4120256
            4096       4  687365 1215086  1763882  1883178 1999797 1158078 1399832  1465383  1366648  1199057  1136775 1808444  1985468
            4096       8  670151 1529437  2228314  2702169 3018351 1872913 1919580  2355082  2465960  1294561  1413887 2162674  2748864
            4096      16  822837 1712369  2297140  2972395 3697135 2135523 2073910  3018351  3269363  1133999  1603227 2403516  2094134
            4096      32  956306 1780148  2364807  2355405 4218190 1884831 2202319  3637640  2452583  1856719  1675953 2537719  3989004
            4096      64 1033014 1941051  2564999  2435200 2834585 1846740 2705573  4145915  4075109  2603876  1784772 2571526  3656998
            4096     128 1013633 1978835  3000428  2700046 5171846 2022635 2588965  4399673  2776856  1890222  1900679 2830382  3984379
            4096     256 1220784 1523334  2375927  2497507 4952675 3214912 2580797  3996428  5928578  2070660  1409479 1865996  3160500
            4096     512 1329422 1753440  3153539  3778448 5468151 3212508 2776856  3185110  6254490  2191643  2027648 2762123  2544108
            4096    1024 1161994 1995152  2882622  2172795 2553562 1712369 2260269  4266376  5558378  2420789  1904049 2354114  1708792
            4096    2048  978029 1311159  2398148  1556880 2473416 1560982 2238184  1866807  2182178   821185  1492758 2304845  2250498
            4096    4096  814489 1140019  1420786  1646400 1625372 1205452 1831971  1335935  1409594  1572987  1360371 1650195  1754873
            8192       4  570714 1099307  1537499  1640724 1324952  891978 1285254  1538945  1290322  1048774   900912 1448079  1602539
            8192       8  784741 1354515  1771594  2031821 1698890 1254700 1608466  2290831  1617400  1193303  1264582 2067148  2000007
            8192      16  832361 1622134  2188545  2356020 2564770 1650259 2092961  2963628  2447657  1707756  1519548 2001405  2416499
            8192      32 1089927 1782809  2552766  2531513 2797840 1856299 2347809  3511181  2537683  1302797  1702088 2440182  2645945
            8192      64  873364 1706315  2727871  2787400 2622319 1670478 2696402  4116513  2988633  1958399  1766676 2672702  2587562
            8192     128 1203290 1929367  2662347  2955217 3233004 2165374 2711724  4399563  2755434  1735182  1803205 2844394  2781533
            8192     256 1085862 1654630  2711724  2893498 3343751 2147375 2791929  4607218  2700853  1774706  1665054 2742459  2947864
            8192     512  945954 1945866  2440876  3022813 3322090 2172356 2162648  4246763  6445505  1599332  1668045 2873174  2943571
            8192    1024 1126519 1940701  3089125  2451849 2618921 2069638 2263665  4209820  5830794  1961305  1423246 2324618  2928768
            8192    2048 1116670 1768585  2101538  2055769 2096792 1635803 1898558  3588182  5022761  1259714  1413410 2339178  2598128
            8192    4096  955344  987354  1932514  1887606 1511726 1192102 1363059  1552715  1833516  1090238  1781607 1794916  1816456
            8192    8192  907911 1198171  1357405  1520422 1483209 1138274 1528335  1284005  1226528  1101810  1192433 1638455  1456365
           16384       4  649284 1099743  1599548  1854035 1239130 1009247 1220880  1519844  1273530  1110549  1115633 1748195  1751358
           16384       8  813866 1423682  1815199  2084441 1828189 1346047 1860762  2424326  1716836  1369792  1272752 2040073  2023255
           16384      16  882707 1556260  1912443  2054160 2156391 1629435 2045660  2754529  1987386  1563483  1528668 2280326  2153756
           16384      32 1016322 1705968  2433425  2632445 2257998 1660660 2130849  3613618  2550474  1674091  1372089 2489943  2410803
           16384      64 1104853 1865207  2792134  2064527 2252373 1675929 2597323  3985399  2622299  1532213  1312923 2618003  2499089
           16384     128  997078 1909096  2327989  2819514 2835101 1885628 2754088  4274448  2603917  1808606  1810799 2613125  2894206
           16384     256 1156313 1931852  2723849  2223010 2396343 1925734 2482478  4681225  2953160  1773323  1427290 2685528  2743861
           16384     512 1133670 1863083  2891649  2223657 2507844 1563376 2565231  4008882  2792588  1770308  1449264 2778811  2912112
           16384    1024 1156410 1847953  2533455  2842019 2884003 1892118 1022644  1775476  2467857   633932  1778509 2876398  2611040
           16384    2048 1068619 1652077  2379005  2148436 2287309 1476320 1857192  3369790  4223742  1255475  1128457 2519799  2293110
           16384    4096  907849 1234855  1756237  1628662 1554605 1387296 1774880  1462060  1643817  1149754  1084471 1594389  1540284
           16384    8192  827389 1053708  1547568  1552252 1545827 1351606 1615795  1248677  1261653  1096724  1560075 1567263  1427557
           16384   16384  811693 1170454  1567120  1504109 1516892 1180913 1277508  1085739  1340768  1312096  1357748 1355392  1579365
           32768      64 1075987 1812585  2731797  2408176 2636222 1865000 2612619  4086333  2618942  1711295  1380105 2475850  2403921
           32768     128 1038931 1875562  2696266  2736148 2776218 1962493 1659393  3687972  2495269  1529430  1343780 2347946  2500808
           32768     256 1013951 1588911  2382956  2375173 2382089 1620249 2200825  4509772  2722760  1667406  1722469 2823151  2831877
           32768     512 1158328 1765437  2407796  2740950 2869900 1994418 2684836  4536117  2754077  1641595  1505193 2683945  2820949
           32768    1024 1046031 1725627  2952323  2566658 2564599 1875690 2687198  4759328  2696689  1437513  1437949 2626047  2523723
           32768    2048  970039 1357974  2585635  2258621 2506921 1766072 2504043  2859331  4621069  1076088   981343 2097030  1960646
           32768    4096  940635 1350369  1573719  1786503 1742782 1263169 1693958  1524443  1775082  1069865  1013637 1727535  1584971
           32768    8192  916407 1260551  1428860  1572369 1601576 1324217 1573503  1424019  1481712  1250788  1166538 1546607  1483856
           32768   16384  875352 1230861  1403758  1547477 1400454 1228232 1524950  1369448  1490874  1108675  1509972 1367554  1527934
           65536      64 1016771 1506710  2617789  2611224 2530619 1683467 2576204  3591212  2577315  1509664  1452583 2751756  2470905
           65536     128 1022596 1705020  2273506  2215402 2726346 1721194 2716861  4449172  2758023  1530715  1605372 2575093  2773300
           65536     256  966009 1690809  2612887  2453066 2387713 1663982 2162761  4106221  2323629  1137599  1192410 2417405  2530642
           65536     512 1035700 1492232  2615896  2661126 2678422 1723309 2774700  4466741  2802937  1370416  1186732 2804653  2837923
           65536    1024  970631 1670687  2704298  2788520 2599273 1704576 2498894  4325189  2712357  1285600  1357865 2537112  2769891
           65536    2048  958424 1307611  1378858  1872671 1597655 1001742 1665454  2093991  1664193   801978   707686 1640623  1621528
           65536    4096  678932  897569  1188276  1184993 1429416  859939  935306   985106  1312687   715029   851126 1144233  1249043
           65536    8192  672405  882376  1184457  1178131 1104544  897077 1250952  1121942  1035455   745929   743991 1330162  1108428
           65536   16384  627584  992311  1082896  1139126 1061776  786266 1198932   975312  1041358   929087   998126  894861  1188857
          131072      64   79979   88511  2454071  1919231 1792020   91035 1815053  3463294  2156456    92915    91327 1835536  1540627
          131072     128   83302   93097  1933868  1621412 2255780   93017 2155720  4517384  1901250    90868    93497 1772417  1839990
          131072     256   95947   95258  2193234  2066076 2139220   87345 1945963  3390293  1946880    87670    74849 1763146  1652467
          131072     512   79842   84673  1595484  1327688 2029257   87566 1590255  4037696  1954077    88624    94716 1860105  1847671
          131072    1024   91339   94587  1555457  2009041 1988110   88852 2337737  2975725  1641930    93889    99185 2007625  1991704
          131072    2048   94308   96924  2166125  1866718 1772080   93010 1406022  2132226  1701746    86414    88611 1849001  2021593
          131072    4096   86365   93638  1260113  1258469 1085914   95948 1232493  1058705   980710   102258   104148 1322931  1247817
          131072    8192   94101   93430   989677  1020103 1066172   96164  988527   968751  1125389   110956   110426 1085779  1051267
          131072   16384   44044   37424  1032299  1164836 1032941   41999 1173639  1018589  1163202    60511    56102 1158217  1013274
          262144      64   14207   13889  1720816  1833161 2130940   14302 2036005  3607761  2221389    14060    13918 2156713  2173627
