	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Feb 23 15:04:06 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  441646 1421755  1933893  2772930 1638743 1304314 1518251  1562436  2067979  1460430  1429325 2379626  2662899
              64       8  712397  474430  3791156  3738358 2772930 1933893 2278628   780776  2561267  1049372   889431 2052169  3791156
              64      16  831569 1562436  4274062  2006158 1002351 1484662  718114  2133730  2662899  1183548  2278628 3363612  3203069
              64      32  809014 1828508  4988978  5389653 4897948 2662899 3203069  2772930  3791156  1933893  2923952 2006158  3057153
              64      64  852702 2662899  6421025  5860307 5860307 3203069 3541098  3203069  4564786  1105556  1226821 1780008  5283570
             128       4  589446 1196221  1802755  2843510 2066432 1067750 1455701  1543594   992724  1175271  1040839 1852520  2784517
             128       8  643880 1206978  3759450  3982553 3124872 2066432 1802755  2238774  3380677  1332828  1939522 2098744  3657016
             128      16  699227 2286447  4557257  4135958 4135958 2558895 3124872  2843510  3359523  2004703  2202044 2336194  4759253
             128      32 1024942 1487977  5122535  3867787 4407601  761728 2058509  2969325  4596273  2132084  1561553 3380677  5325799
             128      64 1040839 1778862  6045455  5379161 6114306 1997245 2098744  3036502  5325799  1526043  2985839 4596273  2727923
             128     128 1048974 1967960  6812590  5847904 5784891 2035099 1967960  2367096  1967960  2098744  2027414 5325799  6406138
             256       4  644578 1126926  2509882  2118645 1985448 1048775 1610276  1591186  1422540  1168627  1201314 2419396  2842047
             256       8  855703 1248819  3326279  4264168 3285566 1504249 1391207  2325094  1868008  1525622  1471270 3043436  3823789
             256      16 1008392 1600674  3245838  4422226 3823789 1740810 3368013  2849590  4070199  2247235  2152625 3087188  4572895
             256      32 1248819 1704877  3114048  4404088 5242734 2081678 2135500  3275543  4998665  1790149  1952947 3770085  4132864
             256      64 1108314 1471270  4572895  6398720 6249745 3511189 4734192  3935921  5717301  3017775   679237 3879045  2911402
             256     128 1123389 2975955  4907284  6107548 6554972 2588541 3654598  3994490  6107548  1790149  4054829 2509882  6398720
             256     256 1143731 1778290  7120034  6891544 6936061 2223962 4929815  2330140  5540300  2305128  1952947 2783115  6249745
