	Iozone: Performance Test of File I/O
	        Version $Revision: 3.414 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England.

	Run began: Sat Feb 23 21:04:14 2013

	Auto Mode
	Excel chart generation enabled
	Command line used: ./benchmarks/iozone3_414/src/current/iozone -a -R
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  542506  926260  2133730  1679761 1879725  955947 1249666  1492919  2067979  1101022  1029254 1188789  2467108
              64       8  598110 1526887  3541098  2298136 3203069 1310683 2203800  2133730  2923952  1226821  1330167 2772930  3541098
              64      16  735831 1421755  4207076  4564786 4018152 1648808 1780008  2298136  1033216  1336792  1330167 2892445  4564786
              64      32  844652 1392258  5860307  5389653 4897948 1780008  913649  2133730  1947927  1562436  2467108 4018152  4897948
              64      64  942521 1722886  5283570  5283570 4897948  508587 1947927  2444640  3541098  3057153  1049372 2467108  5283570
             128       4  399812  992724  2166499  1539168 2132084 1093856 1684006  1579934  2004703  1133103  1007629 1802755  2784517
             128       8  731625 2035099  3982553  2409592 3277486 1406136 2784517  2166499  2286447  1291158  1373754 3199360  2098744
             128      16  895074 1939522  3297617  2511022 4104338 1637771 2035099  2621367  3468030  1278855  1175271 3036502  2066432
             128      32  809997 1878447  5325799  3380677 5122535 1802755 3982553  2714132  3106789  1997245  1057236 3759450  5325799
             128      64 1040839 1377278  5784891  3468030 5784891 1598754 2326073  2784517  5122535  1391557  1057236 3445772  2326073
             128     128  985435 2420455  6727225  5847904 6727225 1997245 3124872  2166499  4934216  1911894  2985839 2066432  2420455
             256       4  593947  876662  1740810  2872459 2131261 1093639 1743637  1610276  1763685  1185399  1185399 1981783  1481420
             256       8  794889 1911233  3705040  2509882 2665657 2097948 1911233  2261434  2692393  1052888  1099237 3197509  3197509
             256      16  972763 1652404  3197509  3207059 4070199 1817419 3169196  2754556  4132864  1514860  1639786 3654598  4350555
             256      32  823544 1907837  3654598  4907284 4998665 2582316 2849590  3465855  3770085  1298662  1619994 4572895  2665657
             256      64 1142514 3197509  4840911  6398720 6073004 3557725 4734192  1942349  3009318  2097948  2285501 2783115  6249745
             256     128 1122215 2097948  5810112  5117791 6554972 2102055 2975955  3159869  6213578  1540948  1031644 3465855  2509882
             256     256  962301 2486631  6891544  5971678 6891544 3879045 4907284  4009406  5971678  4009406  1752173 2435861  2065659
             512       4  659788 1286067  1809465  2891043 2047551 1111070 1505098  1640796  2055390  1286067   753025 1867692  1875849
             512       8  793951 1484293  3556580  4375425 3351224 1524329 2975154  2402629  2105777  1538526  1127995 2830083  2124526
             512      16  808904 1594501  3877684  5019764 4271001 1506154 2105777  2845081  2427068  1647088  1471074 2830083  4494470
             512      32 1047141 1566585  2891043  5807059 5331314 2169601 3533174  2198475  3459188  1528669  1861217 5227492  5822804
             512      64  917804 1674052  6156675  6395018 6174377 2187279 2681653  3604335  4610256  1910902  1689859 3239989  3481620
             512     128  628322 1970519  3182373  5227492 6736026 2906696 2975154  3504346  6551087  1940253  1848401 3346002  4296637
             512     256 1258188 1947291  5127637  6018636 6999490 2275345 4131319  1705969  5227492  1897396  4494470 2764505  2575520
             512     512 1145443 2486072  7211022  7309196 7309196 2169601 2860238  1273106  2638816  2216629  1795846 3068685  7022379
            1024       4  631259 1230718  2132761  1784509 2133821 1071383 1492445  1508167  1924436  1359680  1188159 1921852  2668003
            1024       8  815788 1379773  2290886  2364021 2774874 1287921 1851434  2516377  2765939  1305935  1419915 3229770  4130547
            1024      16 1049138 1530197  4199201  3170172 4162573 1605111 2270300  2993413  2553783  1589665  1656494 2751762  4232305
            1024      32 1331440 2805690  2859868  3101494 5356618 1962242 3606774  3684119  5144870  1116792  1723636 4064103  5277632
            1024      64  892033 2011877  4374559  6441107 6199382 3110479 2645000  4064103  5853003  1838751  1812371 3369115  1965834
            1024     128 1250425 1869160  3984917  3696803 5507740 1917562 3003881  4162573  5720477  1903961  1854631 3722435  6529233
            1024     256 1141730 1917562  4876180  3518141 7066349 2275110 3684119  3791442  5813392  2106609  1558516 3066069  2852271
            1024     512 1186518 2534194  3849207  2789291 6650556 1802483 2869422  3472628  4064103  1670669  1253344 2827858  6479979
            1024    1024 1122924 2829721  2480051  1858644 2666347 1482144 2572135  2419964  4126579  2444759  2106609 3048658  6609617
            2048       4  621746 1207501  1703741  2759547 1974785 1311879 1153660  1577928  1790015  1168411  1061690 1853353  2828608
            2048       8  624776 1536439  2260029  2176427 3302797 1515833 1922629  2566606  3112514  1744572  1412398 2270783  3901313
            2048      16  868476 1627866  2563543  4741090 4257067 2113766 1570714  2756890  2683678  1332432  1465907 2738433  1919192
            2048      32 1120990 1805819  2872113  5018054 5372719 2500122 2563543  3675930  4831762  2131071  1745990 2332443  2004275
            2048      64 1246398 1797882  2461436  5611381 5670651 3084572 3012103  4204968  5172149  2782790  1801275 2745435  6024617
            2048     128  779641 1429082  2216296  1696674 4023754 2107025 1357061  3967993  4603874  1042239   624595 1825390  1671581
            2048     256  576900 1630647  2605532  2619037 5674397 2836079 2140097  4154130  5611381  1718053  1680082 1802788  1805819
            2048     512  919220 1513696  2738433  2438378 4697018 2417789 1429082  3103517  4469720  1412398   495045 1499166  1958129
            2048    1024  877436  940764  3363581  3261415 5119743 3555722 2447410  1455475  3764533  1705094  2255875 2556676  4676561
            2048    2048  927958 1894641  3038742  3150182 2364545 1948800 1216221  1476490  2255282  1835140  1892553 2485653  2980747
            4096       4  640494 1046480  1602628  1897111 1360263  888500 1106108  1622149  1370463  1116387   912473 1401773  1525498
            4096       8  675234 1184916  1660403  1595632 1938423 1488490 1427752  1916795  1664424  1021953  1001986 1812450  1897949
            4096      16  620126 1356290  2062457  1785514 2285832 1789419 1736426  2061467  1873730  1306970   835239 1885865  1755770
            4096      32  762032 1599346  2106975  2215097 2215383 1984550 1807492  3140855  2290708  1985468  1686979 2680666  4003879
            4096      64 1018379 1922157  2824797  4298399 5627567 3509816 2374613  4132949  2352824  1660884  1422197 2803592  4437172
            4096     128 1136174 1566390  2905044  4179197 5944991 3227596 3219732  4481152  3185110  1770790  1848528 2856263  2866270
            4096     256  935375 1866807  3000952  4059701 5696610 3319264 2506617  3407483  6007355  1396532  1920438 2818772  3782607
            4096     512 1187947 2046000  2576153  2445252 3091124 2419425 2749304  3726809  4596244  1811495  1917651 2832248  3927001
            4096    1024 1024025 2022635  3439547  4209920 4633432 2038716 2862450  4520059  5558378  2275537  2027648 2925823  3459633
            4096    2048 1147711 1483605  2514689  1418791 2205429 1044952 2239643  3040789  3509816  1494966  2359610 2654571  3095580
            4096    4096  774852 1275624  1831775  2146730 1986386 1574141 1932970  1668303  2003061  1871077  1542205 1954299  1613314
            8192       4  671261 1145103  1687377  1806809 1457909 1016385 1369470  1666427  1508143  1196961  1127443 1763592  1716287
            8192       8  844804 1402048  1534067  2141753 2080793 1323829 1810808  2392438  1685225  1236148  1343814 2112520  1677328
            8192      16  877087 1405604  2168928  2224391 1894475 1166959 2196941  2980079  2507496  1738166  1512791 2245616  2107467
            8192      32 1086893 1697044  2656994  2386290 2259348 1426437 2446960  3525230  2483931  1481610  1688040 1846721  2665858
            8192      64 1153173 1663361  2403147  2382815 2790342 1982124 2201586  3693481  2037363  1708096  1409294 2690280  2250617
            8192     128 1183805 1952279  2538620  2567070 2527602 1998030 2731775  4442798  3124519  1801693  1799617 2049516  2713438
            8192     256 1199971 1938402  2940548  3022813 3437759 2139486 2459395  4415961  2435857  1134291  1763955 2920552  2720743
            8192     512  876148 1974379  2942563  3156959 3378271 2039782 3065970  3988451  6872214  1969625  1562743 2187430  2372450
            8192    1024 1164113 1514792  2252978  3085518 2980079 2045002 2896914  4302601  5769116  1486224  1470702 2670832  2805608
            8192    2048 1102411 1433459  2741802  2308221 2590879 1721446 2226553  3891776  5016162  1448323  1638065  657831  1549145
            8192    4096  528653 1274007  1671778  1662315 1792575 1455069 1511992  1582682  1811190  1206332  1701667 1813963  1842562
            8192    8192  914703 1315970  1274811  1599406 1127591 1025914 1592881  1378646  1668369  1400562  1416790 1686300  1297827
           16384       4  661496 1100924  1575383  1827995 1378088 1004409 1357748  1589889  1410127  1077685  1107988 1543189  1207006
           16384       8  775651 1468214  2087164  2186025 1762317 1057372 1826343  2442073  1868148  1413259  1399872 1973971  2191533
           16384      16  957458 1652474  2245895  1934571 1613708 1497195 1595463  2527584  2200092  1507673  1310294 2269856  2304413
           16384      32 1021261 1585158  2120068  2644704 2536634 1695194 2463698  2992512  2472296  1687825  1641030 2177022  2285027
           16384      64 1151373 1884956  2278134  2764391 2788735 1918959 2672266  4168908  2725254  1711491  1729539 2136347  1968091
           16384     128 1126737 1831649  2006126  2501363 2597323 1916497 2370306  4164865  2799756  1773735  1804380 2864886  2883398
           16384     256 1135412 1851488  2730126  2857262 2899335 2006360 2899824  4682182  2977859  1758484  1748195 2848380  2832180
           16384     512 1184230 1957217  2321697  2879532 2849325 1990322 2787264  4374861  2816625  1738509  1575527 2879532  2819514
           16384    1024 1183985 1930712  2955828  2858332 2796338 1894988 2814087  4009817  5576609  1461967  1121661 2601945  2650211
           16384    2048 1095099 1787112  2690786  2381725 2701788 1873547 2643381  4412787  3824376  1223227  1085396 2211065  2481671
           16384    4096  905349 1065966  1788088  1763810 1747661 1443904 1510490  1296623  1912656  1362837  1167372 1570701  1723726
           16384    8192  816991 1204615  1557424  1566334 1564266 1205587 1554605  1304251  1299491  1138478  1509362 1311971  1594574
           16384   16384  897463 1217053  1507541  1577190 1516189 1197917 1532794  1294473  1275824  1116975  1159278 1307154  1255384
           32768      64  980930 1563728  2399892  2370339 2153513 1627655 2653271  4124347  2554969  1673456  1708190 2732232  2665828
           32768     128 1107888 1842967  1727362  1676211 1619218 1073307 2063220  3587472  1876330  1208883  1483984 2770845  2606821
           32768     256 1158611 1893990  2739366  2585878 2833628 1968058 2213907  4617188  2826810  1759921  1517743 2884778  2592219
           32768     512 1169366 1840474  2661440  2937809 2937746 2033397 2226099  4461897  2849136  1609830  1668094 2869840  2807408
           32768    1024 1150889 1761161  2617445  2435357 2537421 1962017 2537983  4336187  2095527  1400583  1492639 2818982  2526831
           32768    2048 1089144 1663188  2039704  2235804 2461925 1498106 2069713  2943597  3349489  1120388  1073726 2659123  2711907
           32768    4096  930327 1269329  1703194  1737714 1686806 1367214 1640615  1592151  1864241  1158289  1144496 1579090  1746325
           32768    8192  865687 1286378   681062   802292 1008061 1194074 1548873  1279194  1473452  1256782  1246693 1403945  1575144
           32768   16384  881381 1202190  1421236  1260933 1530998 1218140 1575090  1245834  1556679  1103264  1595478 1527068  1553354
           65536      64 1011202 1583992  2636824  2358843 2470350 1736603 2628177  4007328  2538284  1368179  1566686 2274767  2488262
           65536     128 1052563 1463020  2139597  2030165 2156991 1137834 2767102  4560941  2769081  1406839  1518051 2539855  2782114
           65536     256 1035209 1736614  2575986  2838158 2813552 1755300 2667091  4597788  2563207  1359928  1524839 2612664  2824335
